epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3131,1.04608,1.69844,1.28284,0.57025,0.64584,0.5679,0.38967,1.22006,1.23308,1.16403,0.000369407,0.000369407,0.000369407
2,90.8006,0.91257,0.95948,1.1871,0.58052,0.67649,0.63927,0.36545,1.39202,1.36543,1.30926,0.000732417,0.000732417,0.000732417
3,131.511,0.89552,0.85199,1.17084,0.61581,0.68425,0.65149,0.41431,1.37443,1.37989,1.33735,0.00108809,0.00108809,0.00108809
4,171.909,0.88004,0.80025,1.16601,0.69156,0.7321,0.71289,0.45935,1.15422,0.9393,1.13486,0.001078,0.001078,0.001078
5,213.432,0.85949,0.75798,1.15536,0.72337,0.76327,0.74773,0.48938,1.15111,0.94716,1.1604,0.001067,0.001067,0.001067
6,255.307,0.85082,0.72948,1.1455,0.72889,0.76117,0.75174,0.48181,1.13811,0.89436,1.13642,0.00105601,0.00105601,0.00105601
7,296.25,0.83924,0.71148,1.1387,0.7348,0.7414,0.74781,0.48089,1.15347,0.93652,1.14537,0.00104501,0.00104501,0.00104501
8,337.161,0.83386,0.69428,1.13413,0.7739,0.76591,0.77427,0.51089,1.12753,0.90855,1.14284,0.00103401,0.00103401,0.00103401
9,378.194,0.82413,0.68305,1.13339,0.66538,0.77234,0.76884,0.51189,1.11648,0.94514,1.15406,0.00102301,0.00102301,0.00102301
10,418.769,0.82167,0.67219,1.13159,0.76466,0.783,0.78857,0.52542,1.09729,0.81741,1.14317,0.00101201,0.00101201,0.00101201
11,456.828,0.81236,0.65753,1.12653,0.77852,0.80132,0.81666,0.54121,1.10584,0.8391,1.13647,0.00100101,0.00100101,0.00100101
12,497.136,0.80684,0.64811,1.12429,0.79626,0.79877,0.81358,0.5488,1.07245,0.78958,1.12644,0.000990012,0.000990012,0.000990012
13,536.827,0.80492,0.63885,1.12027,0.81046,0.798,0.81988,0.54852,1.06715,0.76373,1.11072,0.000979013,0.000979013,0.000979013
14,576.671,0.80124,0.6299,1.11744,0.78889,0.80557,0.81877,0.54268,1.09916,0.7863,1.13977,0.000968014,0.000968014,0.000968014
15,617.783,0.80449,0.62471,1.1166,0.81137,0.80829,0.82309,0.55814,1.05972,0.76831,1.116,0.000957015,0.000957015,0.000957015
16,658.798,0.79209,0.61911,1.1147,0.79888,0.81689,0.82761,0.55283,1.08524,0.7819,1.11661,0.000946016,0.000946016,0.000946016
17,698.603,0.7895,0.61344,1.11242,0.79873,0.80774,0.81204,0.55304,1.04636,0.76997,1.10604,0.000935018,0.000935018,0.000935018
18,739.989,0.78317,0.60109,1.10672,0.81033,0.82066,0.83817,0.56362,1.05003,0.75172,1.10853,0.000924019,0.000924019,0.000924019
19,780.825,0.78866,0.60207,1.11191,0.79082,0.81683,0.81605,0.55646,1.04974,0.74457,1.10291,0.00091302,0.00091302,0.00091302
20,822.326,0.7809,0.59673,1.10717,0.83131,0.82011,0.84612,0.57433,1.04725,0.76136,1.09567,0.000902021,0.000902021,0.000902021
21,863.301,0.77513,0.58819,1.10496,0.82117,0.81472,0.83617,0.55557,1.08169,0.75215,1.11333,0.000891022,0.000891022,0.000891022
